Authors,Year,Source title,Abstract
"Goldberg P.K., Maggi G.",1999,American Economic Review,"The Grossman-Helpman Protection for Sale"" model, concerning the political economy of trade protection, yields clear predictions for the cross-sectional structure of import barriers. Our objective is to check whether the predictions of the Grossman-Helpman model are consistent with the data and, if the model finds support, to estimate its key structural parameters. We find that the pattern of protection in the United States in 1983 is broadly consistent with the predictions of the model. A surprising finding is that the weight of welfare in the government's objective function is many times larger than the weight of contributions. (JEL F1)."
"Grossman G.M., Helpman E.",1990,American Economic Review,"We construct a dynamic, two-country model of trade and growth in which endogenous technological progress results from the profit-maximizing behavior of entrepreneurs. We study the role that the external trading environment and that trade and industrial policies play in the determination of long-run growth rates. Cross-country differences in efficiency at R&D versus manufacturing (ie comparative advantage) bear importantly on the growth effects of economic structure and commercial policies. -Authors"
"Peek J., Rosengren E.S.",1997,American Economic Review,"The size of Japanese bank lending operations in the United States enables us to use U.S. banking data to investigate the extent to which the sharp decline in Japanese stock prices was transmitted to the United States via U.S. branches of Japanese parent banks, as well as to identify a supply shock to U.S. bank lending that is independent of U.S. loan demand. We find that binding risk-based capital requirements associated with the Japanese stock market decline resulted in a decrease in lending by Japanese banks in the United States that was both economically and statistically significant. (JEL G21, F34, E44)."
"Maskin E., Tirole J.",2004,American Economic Review,"We build a simple model to capture the major virtues and drawbacks of making public officials accountable (i.e., subjecting them to reelection): On the one hand, accountability allows the public to screen and discipline their officials; on the other, it may induce those officials to pander to public opinion and put too little weight on minority welfare. We study when decision-making powers should be allocated to the public directly (direct democracy), to accountable officials (called ""politicians""), or to nonaccountable officials (called ""judges"")."
Svensson L.E.O.,1997,American Economic Review,"Inflation-targeting regimes (like those of New Zealand, Canada, the United Kingdom, and Sweden) are interpreted as having explicit inflation targets and implicit employment targets. Without employment persistence, an ""inflation-target-conservative"" central bank eliminates the inflation bias, mimics an optimal inflation contract, and dominates a Rogoff ""weight-conservative"" central bank. With employment persistence, a state-contingent inflation bias and a stabilization bias also arise. A constant inflation target and a constant inflation contract are still equivalent. A state-contingent inflation target combined with a weight-conservative central bank can achieve the equilibrium corresponding to an optimal rule under commitment. (JEL E42, E52, E58)."
"Caves D.W., Christensen L.R., Swanson J.A.",1981,American Economic Review,Proposes a methodology for obtaining estimates of productivity growth that do not reflect changes in scale and movements toward or away from equilibrium. Attempts an unambiguous definition of productivity growth and demonstrates how its measurement can be approached from either the primal or the dual characterization of the production structure. Applies this methodology to obtain estimates of productivity growth for Class I US railroads in the period 1955-74. The estimates of the variable cost model show that returns to scale are sizeable for US railroads if output changes are accompanied by changes in haul and trip lengths. Concludes that the behavioural assumptions underlying cost function analysis have important implications for the measurement of productivity growth. -from Authors
"Lizzeri A., Persico N.",2001,American Economic Review,Politicians who care about the spoils of office may underprovide a public good because its benefits cannot be targeted to voters as easily as pork-barrel spending. We compare a winner-take-all system - where all the spoils go to the winner - to a proportional system - where the spoils of office are split among candidates proportionally to their share of the vote. In a winner-take-all system the public good is provided less often than in a proportional system when the public good is particularly desirable. We then consider the electoral college system and show that it is particularly subject to this inefficiency.
"Carroll C.D., Overland J., Weil D.N.",2000,American Economic Review,"Saving and growth are strongly positively correlated across countries. Recent empirical evidence suggests that this correlation holds largely because high growth leads to high saving, not the other way around. This evidence is difficult to reconcile with standard growth models, since forward-looking consumers with standard utility should save less in a fast-growing economy because they know they will be richer in the future than they are today. We show that if utility depends partly on how consumption compares to a ""habit stock"" determined by past consumption, an otherwise-standard growth model can imply that increases in growth can cause increased saving."
"Voors M.J., Nillesen E.E.M., Verwimp P., Bulte E.H., Lensink R., Van Soest D.P.",2012,American Economic Review,"We use a series of field experiments in rural Burundi to examine the impact of exposure to conflict on social, risk, and time preferences. We find that conflict affects behavior: individuals exposed to violence display more altruistic behavior towards their neighbors, are more risk-seeking, and have higher discount rates. Large adverse shocks can thus alter savings and investments decisions, and potentially have long-run consequences-even if the shocks themselves are temporary."
Ausubel L.M.,2004,American Economic Review,"When bidders exhibit multi-unit demands, standard auction methods generally yield inefficient outcomes. This article proposes a new ascending-bid auction for homogeneous goods, such as Treasury bills or telecommunications spectrum. The auctioneer announces a price and bidders respond with quantities. Items are awarded at the current price whenever they are ""clinched,"" and the price is incremented until the market clears. With private values, this (dynamic) auction yields the same outcome as the (sealed-bid) Vickrey auction, but has advantages of simplicity and privacy preservation. With interdependent values, this auction may retain efficiency, whereas the Vickrey auction suffers from a generalized Winner's Curse."
"Duranton G., Turner M.A.",2011,American Economic Review,"We investigate the effect of lane kilometers of roads on vehicle-kilometers traveled (VKT) in US cities. VKT increases proportionately to roadway lane kilometers for interstate highways and probably slightly less rapidly for other types of roads. The sources for this extra VKT are increases in driving by current residents, increases in commercial traffic, and migration. Increasing lane kilometers for one type of road diverts little traffic from other types of road. We find no evidence that the provision of public transportation affects VKT. We conclude that increased provision of roads or public transit is unlikely to relieve congestion."
Lohmann S.,1992,American Economic Review,"The classic time-consistency problem in monetary policy arises from a policymaker's futile attempt to stimulate output above the natural level, resulting in an inflationary bias to discretionary monetary policy (Finn E. Kydland and Edward C. Prescott, 1977; Robert J. Barro and David B. Gordon, 1983). The policymaker can eliminate the inflationary bias by credibly committing to a zero-inflation policy rule. Yet she would like to retain the flexibility to employ monetary instruments to stabilize employment and output. As a result, the ex ante optimal policy rule is contingent on the state of the world."
"Hatfield J.W., Milgrom P.R.",2005,American Economic Review,"We develop a model of matching with contracts which incorporates, as special cases, the college admissions problem, the Kelso-Crawford labor market matching model, and ascending package auctions. We introduce a new ""law of aggregate demand"" for the case of discrete heterogeneous workers and show that, when workers are substitutes, this law is satisfied by profit-maximizing firms. When workers are substitutes and the law is satisfied, truthful reporting is a dominant strategy for workers in a worker-offering auction/matching algorithm. We also parameterize a large class of preferences satisfying the two conditions."
"Jackson M.O., Rogers B.W.",2007,American Economic Review,"We present a dynamic model of network formation where nodes find other nodes with whom to form links in two ways: some are found uniformly at random, while others are found by searching locally through the current structure of the network (e.g., meeting friends of friends). This combination of meeting processes results in a spectrum of features exhibited by large social networks, including the presence of more high- and low-degree nodes than when links are formed independently at random, having low distances between nodes in the network, and having high clustering of links on a local level. We fit the model to data from six networks and impute the relative ratio of random to network-based meetings in link formation, which turns out to vary dramatically across applications. We show that as the random/network-based meeting ratio varies, the resulting degree distributions can be ordered in the sense of stochastic dominance, which allows us to infer how the formation process affects average utility in the network."
"Haider S., Solon G.",2006,American Economic Review,"All of our analyses tell the same story: contrary to the textbook errors-in-variables model usually assumed in applied research, the slope coefficient in the regression of log current earnings on log annual earnings varies systematically over the life cycle and is not generally equal to one. We can illustrate the usefulness of our results by applying them to the intergenerational mobility regression in which sons' log of lifetime earnings is the dependent variable and fathers' log of lifetime earnings is the explanatory variable. As summarized in Solon (1999), most recent research in that literature has devoted considerable attention to the right-side measurement error from using short-run proxies for fathers' lifetime earnings. Our estimates of 0, shown in Figures 2 and 3 confirm the literature's presumption that right-side measurement error causes an attenuation inconsistency in OLS estimation of the intergenerational elasticity.12 The literature, however, has given much less attention to the left-side measurement error from using short-run proxies for sons' lifetime earnings. Presumably, this neglect reflects an assumption by researchers that, in accordance with the textbook errors-in-variables model, left-side measurement error is innocuous for consistency. All our estimates of λt suggest that assumption would be fairly well founded if sons' earnings were measured between the early thirties and mid-forties. Many intergenerational mobility studies, however, have measured sons' earnings at earlier ages, and this has substantially affected the findings. Reville (1995), for example, estimates intergenerational elasticities of about 0.25 when he measures the sons' earnings in their twenties, but his estimates start approaching 0.5 when he observes the sons well into their thirties. This is just the pattern one should expect from the trajectories of λt, in Figures 2 and 3. An important implication is that many estimates of the intergenerational earnings elasticity have been subject to substantial attenuation inconsistency from left-side measurement error, in addition to the well-known inconsistency from right-side measurement error. Of course, interpreting evidence on intergenerational earnings mobility is just one example of how our results might be applied. We advise readers, however, to exercise due caution in importing our estimates of λt, and θt, to other earnings data. We already have mentioned issues of comparability between administrative and survey data. Furthermore, the life-cycle trajectories for our U.S. cohort born 1931-1933 may differ from those for other cohorts and other countries. In addition, as emphasized in Solon (1992), sample selection criteria that affect the sample's dispersion in earnings also affect the measurement error properties of current earnings as proxies for lifetime earnings. Nevertheless, taking account of our evidence on departures from the textbook errors-in-variables model should enable better-informed analyses of estimation biases in a wide variety of research that uses current earnings variables as proxies for long-run earnings."
"Sethi R., Somanathan E.",1996,American Economic Review,"The problem of extracting commonly owned renewable resources is examined within an evolutionary-game-theoretic framework. It is shown that cooperative behavior guided by norms of restraint and punishment may be stable in a well-defined sense against invasion by narrowly self-interested behavior. The resource-stock dynamics are integrated with the evolutionary-game dynamics. Effects of changes in prices, technology, and social cohesion on extraction behavior and the long-run stock are analyzed. When threshold values of the parameters are crossed, social norms can break down leading generally to the lowering of the long-run stock, and possibly to its extinction."
"Acemoglu D., Verdier T.",2000,American Economic Review,"Because government intervention transfers resources from one party to another, it creates room far corruption. As corruption often undermines the purpose of the intervention, governments will try to prevent it. They may create rents for bureaucrats, induce a misallocation of resources, and increase the size of the bureaucracy. Since preventing all corruption is excessively costly, second-best intervention may involve a certain fraction of bureaucrats accepting bribes. When corruption is harder to prevent, there may be both more bureaucrats and higher public-sector wages. Also, the optimal degree of government intervention may be nonmonotonic in the level of income."
Oreopoulos P.,2006,American Economic Review,"The change to the minimum school-leaving age in the United Kingdom from 14 to 15 had a powerful and immediate effect that redirected almost half the population of 14-year-olds in the mid-twentieth century to stay in school for one more year. The magnitude of this impact provides a rare opportunity to (a) estimate local average treatment effects (LATE) of high school that come close to population average treatment effects (ATE); and (b) estimate returns to education using a regression discontinuity design instead of previous estimates that rely on difference-in-differences methodology or relatively weak instruments. Comparing LATE estimates for the United States and Canada, where very few students were affected by compulsory school laws, to the United Kingdom estimates provides a test as to whether instrumental variables (IV) returns to schooling often exceed ordinary least squares (OLS) because gains are high only for small and peculiar groups among the more general population. I find, instead, that the benefits from compulsory schooling are very large whether these laws have an impact on a majority or minority of those exposed."
"Bernard A.B., Redding S.J., Schott P.K.",2010,American Economic Review,"This paper examines the frequency, pervasiveness, and determinants of product switching by US manufacturing firms. We find that one-half of firms alter their mix of five-digit SIC products every five years, that product switching is correlated with both firm- and firm-product attributes, and that product adding and dropping induce large changes in firm scope. The behavior we observe is consistent with a natural generalization of existing theories of industry dynamics that incorporates endogenous product selection within firms. Our findings suggest that product switching contributes to a reallocation of resources within firms toward their most efficient use."
"Becker G.S., Philipson T.J., Soares R.R.",2005,American Economic Review,"GDP per capita is usually used to proxy for the quality of life of individuals living in different countries. Welfare is also affected by quantity of life, however, as represented by longevity. This paper incorporates longevity into an overall assessment of the evolution of cross-country inequality and shows that it is quantitatively important. The absence of reduction in cross-country inequality up to the 1990s documented in previous work is in stark contrast to the reduction in inequality after incorporating gains in longevity. Throughout the post-World War U period, health contributed to reduce significantly welfare inequality across countries. This paper derives valuation formulas for infra-marginal changes in longevity and computes a ""full"" growth rate that incorporates the gains in health experienced by 96 countries for the period between 1960 and 2000. Incorporating longevity gains changes traditional results; countries starting with lower income tended to grow faster than countries starting with higher income. We estimate an average yearly growth in ""full income"" of 4.1 percent for the poorest 50 percent of countries in 1960, of which 1.7 percentage points are due to health, as opposed to a growth of 2.6 percent for the richest 50 percent of countries, of which only 0.4 percentage points are due to health. Additionally, we decompose changes in life expectancy into changes attributable to 13 broad groups of causes of death and three age groups. We show that mortality from infectious, respiratory, and digestive diseases, congenital, perinatal, and ""ill-defined"" conditions, mostly concentrated before age 20 and between ages 20 and 50, is responsible for most of the reduction in life expectancy inequality. At the same time, the recent effect of AIDS, together with reductions in mortality after age 50 - due to nervous system, senses organs, heart and circulatory diseases-contributed to increase health inequality across countries."
"Burkart M., Ellingsen T.",2004,American Economic Review,"It is typically less profitable for an opportunistic borrower to divert inputs than to divert cash. Therefore, suppliers may lend more liberally than banks. This simple argument is at the core of our contract theoretic model of trade credit in competitive markets. The model implies that trade credit and bank credit can be either complements or substitutes. Among other things, the model explains why trade credit has short maturity, why trade credit is more prevalent in less developed credit markets, and why accounts payable of large unrated firms are more countercyclical than those of small firms."
"Gertler P., Gruber J.",2002,American Economic Review,"One of the most sizable and least predictable shocks to economic opportunities in developing countries is major illness. We investigate the extent to which families are able to insure consumption against major illness using a unique panel data set from Indonesia that combines excellent measures of health status with consumption information. We find that there are significant economic costs associated with major illness, and that there is very imperfect insurance of consumption over illness episodes. These estimates suggest that public disability insurance or subsidies for medical care may improve welfare by providing consumption insurance."
Chiswick B.R.,1999,American Economic Review,"This paper has explored the conceptual issues regarding the selectivity of migrants. The analysis indicates a tendency toward the favorable self-selection (supply) of migrants for labor-market success on the basis of a higher level of ability, broadly defined. The favorable selectivity is more intense the greater the out-of-pocket (direct) costs of migration and return migration, the greater the effect of ability on lowering the costs of migration, and the smaller the relative skill differentials in the lower-wage origin relative to the higher-wage destination. Favorable selectivity for labor-market success can be expected to be less intense for noneconomic migrants, such as refugees, tied movers, and ideological migrants, and for sojourners (short-term migrants) and illegal aliens. The analysis in this paper applies only to the supply of immigrants and not to observed outcomes. The determinants of the demand for immigrants are also relevant for international migration, as all nation states have selection criteria for whom they will admit. The overall favorable selectivity of immigrants therefore depends on the favorable selectivity of the supply of immigrants and the criteria used to ration admissions."
"Elliott M., Golub B., Jackson M.O.",2014,American Economic Review,"We study cascades of failures in a network of interdependent financial organizations: how discontinuous changes in asset values (e.g., defaults and shutdowns) trigger further failures, and how this depends on network structure. Integration (greater dependence on counterparties) and diversification (more counterparties per organization) have different, nonmonotonic effects on the extent of cascades. Diversification connects the network initially, permitting cascades to travel; but as it increases further, organizations are better insured against one another's failures. Integration also faces trade-offs: increased dependence on other organizations versus less sensitivity to own investments. Finally, we illustrate the model with data on European debt cross-holdings. © 2014, American Economic Association. All rights reserved."
"Justiniano A., Primiceri G.E.",2008,American Economic Review,"We investigate the sources of the important shifts in the volatility of US macroeconomic variables in the postwar period. To this end, we propose the estimation of DSGE models allowing for time variation in the volatility of the structural innovations. We apply our estimation strategy to a large-scale model of the business cycle and find that shocks specific to the equilibrium condition of investment account for most of the sharp decline in volatility of the last two decades."
"Alesina A., Spolaore E., Wacziarg R.",2000,American Economic Review,"In a world of trade restrictions, large countries enjoy economic benefits, because political boundaries determine the size of the market. Under free trade and global markets even relatively small cultural, linguistic or ethnic groups can benefit from forming small, homogeneous political jurisdictions. This paper provides a formal model of the relationship between openness and the equilibrium number and size of countries, and successfully tests two implications of the model. Firstly, the economic benefits of country size are mediated by the degree of openness to trade. Secondly, the history of nation-state creations and secessions is influenced by the trade regime."
"Jaimovich N., Rebelo S.",2009,American Economic Review,"Aggregate and sectoral comovement are central features of business cycles, so the ability to generate comovement is a natural litmus test for macroeconomic models. But it is a test that most models fail. We propose a unified model that generates aggregate and sectoral comovement in response to contemporaneous and news shocks about fundamentals. The fundamentals that we consider are aggregate and sectoral total factor productivity shocks as well as investmentspecific technical change. The model has three key elements: variable capital utilization, adjustment costs to investment, and preferences that allow us to parameterize the strength of short-run wealth effects on the labor supply. (JEL E13, E20, E32)."
"Duflo E., Dupas P., Kremer M.",2011,American Economic Review,"To the extent that students benefit from high-achieving peers, tracking will help strong students and hurt weak ones. However, all students may benefit if tracking allows teachers to better tailor their instruction level. Lower-achieving pupils are particularly likely to benefit from tracking when teachers have incentives to teach to the top of the distribution. We propose a simple model nesting these effects and test its implications in a randomized tracking experiment conducted with 121 primary schools in Kenya. While the direct effect of highachieving peers is positive, tracking benefited lower-achieving pupils indirectly by allowing teachers to teach to their level."
Mendoza E.G.,2010,American Economic Review,"Financial crashes were followed by deep recessions in the Sudden Stops of emerging economies. An equilibrium business cycle model with a collateral constraint explains this phenomenon as a result of the amplification and asymmetry that the constraint induces in the responses of macro-aggregates to shocks. Leverage rises during expansions, and when it rises enough it triggers the constraint, causing a Fisherian deflation that reduces credit and the price and quantity of collateral assets. Output and factor allocations fall because access to working capital financing is also reduced. Precautionary saving makes Sudden Stops low probability events nested within normal cycles, as observed in the data."
"Basu S., Fernald J.G., Kimball M.S.",2006,American Economic Review,"Yes. We construct a measure of aggregate technology change, controlling for aggregation effects, varying utilization of capital and labor, nonconstant returns, and imperfect competition. On impact, when technology improves, input use and nonresidential investment fall sharply. Output changes little. With a lag of several years, inputs and investment return to normal and output rises strongly. The standard one-sector real-business-cycle model is not consistent with this evidence. The evidence is consistent, however, with simple sticky-price models, which predict the results we find: when technology improves, inputs and investment generally fall in the short run, and output itself may also fall."
"De La Croix D., Doepke M.",2003,American Economic Review,"We develop a new theoretical link between inequality and growth. In our model, fertility and education decisions are interdependent. Poor parents decide to have many children and invest little in education. A mean-preserving spread in the income distribution increases the fertility differential between the rich and the poor, which implies that more weight gets placed on families who provide little education. Consequently, an increase in inequality lowers average education and, therefore, growth. We find that this fertility-differential effect accounts for most of the empirical relationship between inequality and growth."
"Baye M.R., Morgan J.",2001,American Economic Review,"We examine the equilibrium interaction between a market for price information (controlled by a gatekeeper) and the homogenous product market it serves. The gatekeeper charges fees to firms that advertise prices on its Internet site and to consumers who access the list of advertised prices. Gatekeeper profits are maximized in an equilibrium where (a) the product market exhibits price dispersion; (b) access fees are sufficiently low that all consumers subscribe; (c) advertising fees exceed socially optimal levels, thus inducing partial firm participation; and (d) advertised prices are below unadvertised prices. Introducing the market for information has ambiguous social welfare effects."
"Cappelen A.W., Hole A.D., Sørensen E.Ø., Tungodden B.",2007,American Economic Review,"A core question in the contemporary debate on distributive justice is how to understand fairness in situations involving production. Important theories of distributive justice, such as strict egalitarianism, liberal egalitarianism, and libertarianism, provide different answers to this question. This paper presents the results from a dictator game where the distribution phase is preceded by a production phase. Each player's contribution is a result of a freely chosen investment level and an exogenously given rate of return. We estimate simultaneously the prevalence of three principles of distributive justice among the players and the distribution of the weight they attach to fairness."
Howitt P.,2000,American Economic Review,"A multicountry Schumpeterian growth model is constructed. Because of technology transfer, R&D-performing countries converge to parallel growth paths; other countries stagnate. A parameter change that would have raised a country's growth rate in standard Schumpeterian theory will permanently raise its productivity and per capita income relative to other countries and raise the world growth rate. Transitional dynamics are analyzed for each country and for the world economy. Steady-state income differences obey the same equation as in neoclassical theory, but since R&D is positively correlated with investment rates, capital accumulation accounts for less than estimated by neoclassical theory. (JEL E10, O40)."
"Farhi E., Tirole J.",2012,American Economic Review,"The article shows that time-consistent, imperfectly targeted support to distressed institutions makes private leverage choices strategic complements. When everyone engages in maturity mismatch, authorities have little choice but intervening, creating both current and deferred (sowing the seeds of the next crisis) social costs. In turn, it is profitable to adopt a risky balance sheet. These insights have important consequences, from banks choosing to correlate their risk exposures to the need for macro-prudential supervision."
Paxson C.H.,1992,American Economic Review,This paper measures the extent to which farmers are able to use savings and dissavings to smooth consumption in response to unexpected shocks to income. Time-series information on regional rainfall is used to construct estimates of transitory income due to rainfall shocks. The relationships between these measures of transitory income and savings indicates that farmhouseholds save a significantly higher fraction of transitory income than nontransitory income. -Author
"Kim E.H., Singal V.",1993,American Economic Review,"This paper examines price changes associated with airline mergers during 1985-1988, a period of natural experimentation in which mergers were not contested by the government. The results show that prices increased on routes served by the merging firms relative to a control group of routes unaffected by the merger. Mergers may lead to more efficient operations, but on the whole, the impact of efficiency gains on airfares is more than offset by exercise of increased market power. -Authors"
Stiglitz J.E.,1989,American Economic Review,"This paper explores the causes and consequences of market failures and the failure of private nonmarket solutions, and suggests possible roles for government intervention. In this discussion, focuses on three examples of central importance to LDCs: learning, capital markets, and product markets. In each instance, identifies why markets do not work in the way hypothesized by neoclassical theory. -from Author"
Jones C.I.,2002,American Economic Review,"Rising educational attainment and research intensity in recent decades suggest that the U.S. economy is far from its steady state. This paper develops a model reconciling these facts with the stability of U.S. growth rates. In the model, long-run growth arises from the worldwide discovery of ideas, which depends on population growth. Nevertheless, constant growth can temporarily proceed at a faster rate, provided research intensity and educational attainment rise steadily over time. Growth accounting reveals that these factors explain 80 percent of recent U.S. growth, with less than 20 percent coming from world population growth."
Joskow P.L.,2011,American Economic Review,"Economic evaluations of alternative electric generating technologies typically rely on comparisons between their expected ""levelized cost"" per MWh supplied. I demonstrate that this metric is inappropriate for comparing intermittent generating technologies like wind and solar with dispatchable generating technologies like nuclear, gas combined cycle, and coal. It overvalues intermittent generating technologies compared to dispatchable base load generating technologies. It also likely overvalues wind generating technologies compared to solar generating technologies. Integrating differences in production profiles, the associated variations in wholesale market prices of electricity, and life-cycle costs associated with different generating technologies is necessary to provide meaningful comparisons between them. © 2011 AEA. The American Economic Association is hosted by Vanderbilt University."
Young H.P.,2009,American Economic Review,"New ideas, products, and practices take time to diffuse, a fact that is often attributed to some form of heterogeneity among potential adopters. This paper examines three broad classes of diffusion models-contagion, social influence, and social learning-and shows how to incorporate heterogeneity into each at a high level of generality without losing analytical tractability. Each type of model leaves a characteristic ""footprint"" on the shape of the adoption curve which provides a basis for discriminating empirically between them. The approach is illustrated using the classic study of Ryan and Gross (1943) on the diffusion of hybrid corn. (JEL D83, O33, Q16, Z13)."
"Finkelstein A., McGarry K.",2006,American Economic Review,"We demonstrate the existence of multiple dimensions of private information in the long-term care insurance market. Two types of people purchase insurance: individuals with private information that they are high risk and individuals with private information that they have strong taste for insurance. Ex post, the former are higher risk than insurance companies expect, while the latter are lower risk. In aggregate, those with more insurance are not higher risk. Our results demonstrate that insurance markets may suffer from asymmetric information even absent a positive correlation between insurance coverage and risk occurrence. The results also suggest a general test for asymmetric information."
Kranton R.E.,1996,American Economic Review,"Reciprocal exchange, or gift exchange, remains a widespread means of obtaining goods and services. This paper examines the persistence of reciprocal exchange by formalizing the interaction between self-enforcing exchange agreements and monetary market exchange. When more people engage in reciprocal exchange, market search costs increase, reciprocity is easier to enforce and yields higher utility. Thus, personalized exchange can persist even when it is inefficient. Conversely, large markets can destroy reciprocity when reciprocal exchange is efficient. The results characterize the use of personal ""connections"" as a system of reciprocal exchange and explain the disappearance of reciprocity when tribes encounter markets."
"Mobius M.M., Rosenblat T.S.",2006,American Economic Review,"We decompose the beauty premium in an experimental labor market where ""employers"" determine wages of ""workers"" who perform a maze-solving task. This task requires a true skill which we show to be unaffected by physical attractiveness. We find a sizable beauty premium and can identify three transmission channels: (a) physically attractive workers are more confident and higher confidence increases wages; (b) for a given level of confidence, physically attractive workers are (wrongly) considered more able by employers; (c) controlling for worker confidence, physically attractive workers have oral skills (such as communication and social skills) that raise their wages when they interact with employers. Our methodology can be adopted to study the sources of discriminatory pay differentials in other settings."
"Di Tella R., Schargrodsky E.",2004,American Economic Review,"An important challenge in the crime literature is to isolate causal effects of police on crime. Following a terrorist attack on the main Jewish center in Buenos Aires, Argentina, in July 1994, all Jewish institutions received police protection. Thus, this hideous event induced a geographical allocation of police forces that can be presumed exogenous in a crime regression. Using data on the location of car thefts before and after the attack, we find a large deterrent effect of observable police on crime. The effect is local, with no appreciable impact outside the narrow area in which the police are deployed."
"Bartelsman E., Haltiwanger J., Scarpetta S.",2013,American Economic Review,"This paper investigates the effect of idiosyncratic (firm-level) policy distortions on aggregate outcomes. Exploiting harmonized firm-level data for a number of countries, we show that there is substantial and systematic cross-country variation in the within-industry covariance between size and productivity. We develop a model in which heterogeneous firms face adjustment frictions (overhead labor and quasi-fixed capital) and distortions. The model can be readily calibrated so that variations in the distribution of distortions allow matching the observed cross-country moments. We show that the differences in the distortions that account for the size-productivity covariance imply substantial differences in aggregate performance. Copyright © 2013 by the American Economic Association."
"Dohmen T., Falk A.",2011,American Economic Review,"This paper studies the impact of incentives on worker self-s election in a controlled laboratory experiment. Subjects face the choice between a fixed and a variable payment scheme. Depending on the treatment, the variable payment is a piece rate, a tournament, or a revenue-sharing scheme. We find that output is higher in the variable-payment schemes compared to the fixed-payment scheme. This difference is largely driven by productivity sorting. In addition, different incentive schemes systematically attract individuals with different attitudes, such as willingness to take risks and relative self-assessment as well as gender, which underlines the importance of multidimensional sorting."
"Palfrey T.R., Prisbrey J.E.",1997,American Economic Review,"We report the results of voluntary contributions experiments where subjects are randomly assigned different rates of return from their private consumption. These random assignments are changed round to round, enabling the measurement of individual player contribution rates as a function of that player's investment cost. We directly test these response functions for the presence of warm-glow and/or altruism effects. We find significant evidence for heterogeneous warm-glow effects that are, on average, low in magnitude. We statistically reject the presence of an altruism effect."
"Foster A.D., Rosenzweig M.R.",1996,American Economic Review,"Panel and time-series data describing the green-revolution period in India are used to assess the effects of exogenous technical change on the returns to schooling, the effects of schooling on the profitability of technical change, and the effects of technical change and school availability on household schooling investment. The results indicate that the returns to (primary) schooling increased during a period of rapid technical progress, particularly in areas with the highest growth rates. Such increases induced private investment in schooling, net of changes in wealth, wages, and the availability of schools, and school expansion importantly increased levels of schooling."
"Brander J.A., Taylor M.S.",1998,American Economic Review,"This paper presents a general equilibrium model of renewable resource and population dynamics related to the Lotka-Volterra predator-prey model, with man as the predator and the resource base as the prey. We apply the model to the rise and fall of Easter Island, showing that plausible parameter values generate a ""feast and famine"" pattern of cyclical adjustment in population and resource stocks. Near-monotonic adjustment arises for higher values of a resource regeneration parameter, as might apply elsewhere in Polynesia. We also describe other civilizations that might have declined because of population overshooting and endogenous resource degradation."
"Viscusi W.K., Evans W.N.",1990,American Economic Review,"Taylor's series and logarithmic estimates of health state-dependent utility functions both imply that job injuries reduce one's utility and marginal utility of income, thus rejecting the monetary loss equivalent formulation. Injury valuations have unitary income elasticity, and the valuation of non-incremental risk changes and effects of base risks follow economic predictions. © 1990, American Economic Association. All rights reserved."
"Brunnermeier M.K., Parker J.A.",2005,American Economic Review,"Forward-looking agents care about expected future utility flows, and hence have higher current felicity if they are optimistic. This paper studies utility-based biases in beliefs by supposing that beliefs maximize average felicity, optimally balancing this benefit of optimism against the costs of worse decision making. A small optimistic bias in beliefs typically leads to first-order gains in anticipatory utility and only second-order costs in realized outcomes. In a portfolio choice example, investors overestimate their return and exhibit a preference for skewness; in general equilibrium, investors' prior beliefs are endogenously heterogeneous. In a consumption-saving example, consumers are both overconfident and overoptimistic."
Pedro Dal B.O.,2005,American Economic Review,"While there is an extensive literature on the theory of infinitely repeated games, empirical evidence on how ""the shadow of the future"" affects behavior is scarce and inconclusive. I simulate infinitely repeated prisoner's dilemma games in the lab with a random continuation rule. The experimental design represents an improvement over the existing literature by including sessions with finite repeated games as controls and a large number of players per session (which allows for learning without contagion effects). I find that the shadow of the future matters not only by significantly reducing opportunistic behavior, but also because its impact closely follows theoretical predictions."
"Head K., Ries J.",2001,American Economic Review,"We evaluate two alternative models of international trade in differentiated products. An increasing returns model where varieties are linked to firms predicts home market effects: increases in a country's share of demand cause disproportionate increases in its share of output. In contrast, a constant returns model with national product differentiation predicts a less than proportionate increase. We examine a panel of U.S. and Canadian manufacturing industries to test the models. Although we find support for either model, depending on whether we estimate based on within or between variation, the preponderance of the evidence supports national product differentiation."
"Abeler J., Falk A., Goette L., Huffman D.",2011,American Economic Review,"A key open question for theories of reference-dependent preferences is: what determines the reference point? One candidate is expectations: what people expect could affect how they feel about what actually occurs. In a real-effort experiment, we manipulate the rational expectations of subjects and check whether this manipulation influences their effort provision. We find that effort provision is significantly different between treatments in the way predicted by models of expectation-based, reference-dependent preferences: if expectations are high, subjects work longer and earn more money than if expectations are low."
"Galor O., Tsiddon D.",1997,American Economic Review,"This paper analyzes the relationship between technological progress, wage inequality, intergenerational earnings mobility, and economic growth. In periods of major technological inventions, a decline in the relative importance of initial conditions raises inequality, enhances mobility, and generates a larger concentration of high-ability individuals in technologically advanced sectors, stimulating future technological progress and growth. However, once technologies become more accessible, mobility is diminished and inequality decreases but becomes more persistent. The reduction in the concentration of ability in technologically advanced sectors diminishes the likelihood of technological breakthroughs and slows future growth. User friendliness, therefore, becomes unfriendly to future economic growth."
